hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
15863,1,1,1,51,12,14,1,1
15863,2,1,1,53,9,14,1,1
26344,1,1,1,57,11,15,1,1
26344,2,1,1,57,9,15,1,1
37563,1,1,1,60,12,14,1,1
37563,2,1,1,57,10,14,1,1
58896,1,1,1,62,9,10,2,1
58896,2,1,1,59,9,10,1,1
59813,1,1,2,53,10,17,7,1
59813,2,1,2,61,10,17,5,1
63056,1,1,2,34,12,16,3,1
63056,2,1,2,32,12,16,4,1
63244,1,1,1,54,12,14,6,1
63244,2,1,2,47,13,14,2,1
63406,1,1,2,47,11,13,1,1
63406,2,1,2,44,9,13,7,1
63529,1,1,1,52,13,17,1,1
63529,2,1,2,51,12,17,1,1
65188,1,1,1,58,10,18,5,1
65188,2,1,1,59,13,18,1,1
65773,1,1,2,48,14,16,1,1
65773,2,1,2,47,12,16,1,1
72603,1,1,1,55,9,12,1,1
72603,2,1,2,47,10,12,7,1
87916,1,1,2,52,12,12,4,1
87916,2,1,2,53,9,12,1,1
97025,1,1,2,27,9,11,1,1
97025,2,1,1,28,9,11,1,1
105493,1,1,1,45,12,16,1,1
105493,2,1,1,44,12,16,2,1
133491,1,1,1,58,14,16,1,1
133491,2,1,1,52,12,16,1,1
134703,1,1,1,59,11,19,1,1
134703,2,1,1,57,12,19,1,1
137223,1,1,1,57,13,16,1,1
137223,2,1,1,48,9,16,7,1
139937,1,1,2,44,9,12,1,0
139937,2,1,1,46,4,12,2,0
140209,1,1,1,39,12,15,1,1
140209,2,1,1,38,12,15,2,1
152928,1,1,1,48,9,14,1,1
152928,2,1,2,43,9,14,1,1
153775,1,1,2,50,11,16,1,1
153775,2,1,2,49,13,16,6,1
154150,1,1,2,44,12,14,1,1
154150,2,1,2,46,13,14,7,1
154227,1,1,2,62,12,14,5,1
154227,2,1,2,58,12,14,5,1
154782,1,1,2,41,11,14,1,1
154782,2,1,1,39,12,14,1,1
162804,1,2,1,58,11,11,6,1
162804,2,2,1,55,9,11,5,1
163951,1,1,1,30,9,8,1,1
163951,2,1,1,29,9,8,7,1
164540,1,1,2,44,12,15,1,1
164540,2,1,1,44,13,15,1,1
164595,1,1,1,49,11,13,2,1
164595,2,1,2,49,10,13,1,1
164867,1,2,1,40,10,18,1,1
164867,2,2,2,47,11,18,1,1
166000,1,1,1,46,9,11,1,1
166000,2,1,1,41,9,11,7,1
166227,1,1,1,32,11,19,1,1
166227,2,1,1,39,11,19,1,1
166643,1,1,1,54,13,13,1,1
166643,2,1,1,56,11,13,2,1
166829,1,1,2,53,9,16,4,1
166829,2,1,1,49,10,16,1,1
167035,1,1,1,42,10,14,1,1
167035,2,1,1,47,10,14,1,1
167110,1,1,1,56,12,9,1,1
167110,2,1,1,59,10,9,2,1
167260,1,1,1,53,13,15,1,1
167260,2,1,1,45,11,15,4,1
167904,1,1,1,53,12,12,1,1
167904,2,1,2,49,12,12,2,1
168050,1,1,2,57,10,19,1,1
168050,2,1,1,52,10,19,1,1
168105,1,1,4,34,10,16,1,1
168105,2,1,1,29,9,16,7,1
168204,1,1,2,64,9,13,2,1
168204,2,1,2,63,10,13,1,1
168280,1,2,1,56,10,13,1,1
168280,2,2,1,56,12,13,2,1
168284,1,1,1,46,9,12,6,1
168284,2,1,1,51,9,12,1,1
168622,1,1,1,58,10,13,5,1
168622,2,1,2,58,10,13,5,1
168726,1,1,1,50,9,13,1,1
168726,2,1,1,60,10,13,1,1
169115,1,1,2,56,9,4,6,1
169115,2,1,2,59,9,4,6,1
169597,1,1,1,49,9,17,1,1
169597,2,1,1,48,10,17,1,1
169871,1,1,1,52,12,17,1,1
169871,2,1,1,50,12,17,1,1
169872,1,1,2,33,12,17,1,1
169872,2,1,1,28,12,17,1,1
170309,1,2,1,55,10,11,1,1
170309,2,2,1,55,9,11,1,1
171320,1,1,1,61,10,14,1,1
171320,2,1,1,62,9,14,1,1
171326,1,1,2,57,10,13,1,1
171326,2,1,1,56,12,13,1,1
